trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.495, 'e': 0.95}",35,4,-144.37767353542205,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 2}",1
2,False,"{'a': 0.49, 'e': 0.8999999999999999}",20,0,-39.975770348192434,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.485, 'e': 0.8499999999999999}",20,0,-169.4370318185488,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.48, 'e': 0.7999999999999998}",25,0,-149.46900603176198,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
5,False,"{'a': 0.475, 'e': 0.7499999999999998}",20,0,-44.852544106920305,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.47, 'e': 0.6999999999999997}",25,0,-189.39156530770885,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
7,False,"{'a': 0.46499999999999997, 'e': 0.6499999999999997}",30,0,-113.53756573203178,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.45999999999999996, 'e': 0.5999999999999996}",25,0,-112.21637832875818,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.45499999999999996, 'e': 0.5499999999999996}",25,0,-75.05131099549774,"{0: 19, 1: 0, 2: 2, 3: 4, 4: 0}",0
10,False,"{'a': 0.44999999999999996, 'e': 0.4999999999999996}",25,17,5.294473344533442,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.44499999999999995, 'e': 0.4499999999999996}",25,0,-81.09796003924416,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.43999999999999995, 'e': 0.39999999999999963}",30,20,6.839116840655375,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.43499999999999994, 'e': 0.34999999999999964}",20,0,-8.108553720782398,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.42999999999999994, 'e': 0.29999999999999966}",20,0,-39.988011205026176,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.42499999999999993, 'e': 0.24999999999999967}",20,0,-39.62100934781348,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.41999999999999993, 'e': 0.19999999999999968}",35,10,7.868371635279428,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.4149999999999999, 'e': 0.1499999999999997}",20,0,-147.510887668081,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
18,False,"{'a': 0.4099999999999999, 'e': 0.09999999999999969}",25,17,14.473538442982512,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.4049999999999999, 'e': 0.049999999999999684}",20,0,-62.75605288016238,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.3999999999999999, 'e': 0.0}",20,1,8.37600776095276,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.3949999999999999, 'e': 0.0}",35,0,51.955881268142015,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.3899999999999999, 'e': 0.0}",20,7,0.09923989888589091,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.3849999999999999, 'e': 0.0}",25,0,40.37246633189714,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.3799999999999999, 'e': 0.0}",30,0,44.12921898336986,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.3749999999999999, 'e': 0.0}",35,22,24.41308593362873,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
