trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-93.0864136538971,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-76.07726298840078,"{0: 23, 1: 6, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-68.93326002640805,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-225.42534261348305,"{0: 8, 1: 1, 2: 5, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-72.83493734079786,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-43.599202521531815,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-20.959405839340846,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,9,-171.14690097420043,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 4}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-31.346226892413167,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-221.55704316650923,"{0: 16, 1: 4, 2: 4, 3: 3, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-158.14709458840744,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-154.72546362142052,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-68.88604324959329,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
