trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-54.63357622887393,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-131.8201813755134,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-62.708875596604344,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,8,-13.55819996174955,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-28.993225717536312,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-36.64740643607684,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-29.086167825816503,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-91.27350208620408,"{0: 21, 1: 5, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,1,-30.370037222535252,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-84.86228919749317,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,4,-26.237235767368084,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,21,-10.30215407309621,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,13.776548681015727,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,-12.143150965808111,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,18.08557393996694,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-98.67474158513471,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,11.03655566868314,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,13,-19.715176173067732,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,33.27402980795103,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,16,-4.189557225341111,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': -0.05000000000000032}",25,2,36.416335950078754,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': -0.10000000000000032}",20,2,30.639836074205693,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': -0.15000000000000033}",30,5,46.61406187557501,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': -0.20000000000000034}",30,0,45.8699137927386,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': -0.25000000000000033}",25,14,21.318199044247574,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': -0.3000000000000003}",25,8,5.905667218474542,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': -0.3500000000000003}",20,2,27.53269348627898,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': -0.4000000000000003}",25,0,39.54026658620651,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': -0.4500000000000003}",20,3,28.110100935466797,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': -0.5000000000000003}",20,13,12.93300036099334,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': -0.5500000000000004}",25,0,42.92633489455621,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': -0.6000000000000004}",20,0,25.703240064628393,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': -0.6500000000000005}",30,18,22.16440855866808,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': -0.7000000000000005}",25,0,36.323022368182144,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': -0.7500000000000006}",20,11,17.126249609651982,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': -0.8000000000000006}",25,8,30.125868791679913,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': -0.8500000000000006}",20,0,34.832077665692026,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': -0.9000000000000007}",25,5,38.96449976520383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': -0.9500000000000007}",25,16,17.550814320115524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': -1.0000000000000007}",25,4,34.285883797606424,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': -1.0500000000000007}",30,0,48.35325207432236,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': -1.1000000000000008}",20,10,20.184538083973077,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': -1.1500000000000008}",20,10,19.647495302199957,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': -1.2000000000000008}",35,21,24.816667825267896,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': -1.2500000000000009}",20,11,18.46267244887017,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': -1.300000000000001}",20,16,7.085629400806285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': -1.350000000000001}",20,7,23.72278462112824,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': -1.400000000000001}",20,11,15.18433469767548,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': -1.450000000000001}",20,15,12.379804325385592,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': -1.500000000000001}",20,5,26.287518226643833,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': -1.5500000000000012}",20,6,22.82013369119886,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': -1.6000000000000012}",30,19,23.62516769315033,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': -1.6500000000000012}",20,13,14.695174189369354,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': -1.7000000000000013}",25,4,31.242324335560465,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': -1.7500000000000013}",30,0,47.987957705005,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': -1.8000000000000014}",25,0,36.83819505537815,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': -1.8500000000000014}",25,2,32.415625504520044,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': -1.9000000000000015}",35,17,35.36880132868544,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': -1.9500000000000015}",25,17,14.138948650456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': -2.0000000000000013}",20,0,28.346933850652178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': -2.050000000000001}",25,8,32.05303657667397,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': -2.100000000000001}",30,3,45.03497156788109,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': -2.150000000000001}",20,0,32.14898054649791,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': -2.2000000000000006}",25,17,16.7085054567369,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': -2.2500000000000004}",20,0,33.58262803841442,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': -2.3000000000000003}",30,12,36.45562853734029,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': -2.35}",20,0,32.86141905016856,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': -2.4}",25,0,33.87121699681566,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': -2.4499999999999997}",20,0,32.934900342428186,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': -2.4999999999999996}",20,0,26.727906855784457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': -2.5499999999999994}",30,18,23.23065317040612,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': -2.599999999999999}",20,0,24.714934101181104,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': -2.649999999999999}",20,0,31.62420360678068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': -2.699999999999999}",30,0,43.69639918369844,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': -2.7499999999999987}",20,0,33.976121450624085,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': -2.7999999999999985}",25,0,34.07631686976721,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': -2.8499999999999983}",25,0,42.63352288579453,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': -2.899999999999998}",25,18,12.673144598766719,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': -2.949999999999998}",20,4,27.413567764033424,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': -2.999999999999998}",25,0,40.465989183140046,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': -3.0499999999999976}",20,16,7.747325074738814,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': -3.0999999999999974}",20,7,27.97320244450198,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': -3.1499999999999972}",25,2,38.437390186367175,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': -3.199999999999997}",20,0,24.44342471236538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': -3.249999999999997}",20,5,26.44267130681486,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': -3.2999999999999967}",30,0,45.38998778849099,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': -3.3499999999999965}",20,14,10.942566570813133,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': -3.3999999999999964}",20,10,20.52133293733634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': -3.449999999999996}",35,17,26.7142368161032,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': -3.499999999999996}",30,0,44.35186356959168,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': -3.549999999999996}",20,0,32.76945693566801,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': -3.5999999999999956}",35,0,43.70642874450558,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': -3.6499999999999955}",30,4,39.5442571017146,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': -3.6999999999999953}",30,0,50.03867182542742,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': -3.749999999999995}",20,4,26.170860264190928,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': -3.799999999999995}",20,3,28.537057311060018,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
