trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.495, 'e': 0.95}",20,0,-78.23496265797517,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.49, 'e': 0.8999999999999999}",25,0,-177.49718178715528,"{0: 14, 1: 3, 2: 2, 3: 4, 4: 2}",0
3,False,"{'a': 0.485, 'e': 0.8499999999999999}",20,0,-66.14830594994221,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.48, 'e': 0.7999999999999998}",35,0,-205.1920072693155,"{0: 17, 1: 4, 2: 10, 3: 3, 4: 1}",0
5,False,"{'a': 0.475, 'e': 0.7499999999999998}",20,5,-32.28244289288547,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.47, 'e': 0.6999999999999997}",20,0,-106.87924747355504,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.46499999999999997, 'e': 0.6499999999999997}",25,14,-9.700452681049278,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.45999999999999996, 'e': 0.5999999999999996}",25,0,-230.20925438688403,"{0: 11, 1: 5, 2: 4, 3: 1, 4: 4}",0
9,False,"{'a': 0.45499999999999996, 'e': 0.5499999999999996}",35,0,-0.8684912140427823,"{0: 30, 1: 4, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.44999999999999996, 'e': 0.4999999999999996}",20,12,-9.702080177983973,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.44499999999999995, 'e': 0.4499999999999996}",30,4,-76.95803722547186,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.43999999999999995, 'e': 0.39999999999999963}",25,0,-60.66299584466095,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.43499999999999994, 'e': 0.34999999999999964}",25,0,-97.9377950609102,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.42999999999999994, 'e': 0.29999999999999966}",35,1,-49.512270468542845,"{0: 26, 1: 3, 2: 3, 3: 2, 4: 0}",1
15,False,"{'a': 0.42499999999999993, 'e': 0.24999999999999967}",30,0,-13.797143415096118,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.41999999999999993, 'e': 0.19999999999999968}",20,0,-34.96702503099484,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.4149999999999999, 'e': 0.1499999999999997}",30,1,-17.474815442124036,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.4099999999999999, 'e': 0.09999999999999969}",35,16,33.731749860796896,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.4049999999999999, 'e': 0.049999999999999684}",20,1,24.94536140272763,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.3999999999999999, 'e': 0.0}",30,7,39.73618127545481,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.3949999999999999, 'e': 0.0}",25,0,-58.15289268322608,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
22,False,"{'a': 0.3899999999999999, 'e': 0.0}",20,4,24.78723384476674,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.3849999999999999, 'e': 0.0}",25,7,32.26025157549105,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.3799999999999999, 'e': 0.0}",20,12,18.70503098457439,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.3749999999999999, 'e': 0.0}",30,14,32.55906440717882,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.3699999999999999, 'e': 0.0}",30,11,32.957356150927566,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.3649999999999999, 'e': 0.0}",25,9,29.157768788813023,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.3599999999999999, 'e': 0.0}",20,14,12.966177132831366,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
